disclose,폭로하다쉼표 드러내다,Since we have agreed to maintain confidentiality쉼표 I regret that I cannot disclose the source of information.,저희는 기밀 유지에 동의했으므로쉼표 정보의 출처를 누설할 수 없게 되어 유감입니다.,Since we have agreed to maintain confidentiality쉼표 I regret that I cannot _ the source of information.,,disclose,,,,,
contagious,전염성의,Contagious germs can be killed by washing your hands.,전염성이 있는 세균들은 손을 씻음으로써 제거될 수 있다,_ germs can be killed by washing your hands.,,Contagious,,,,,
pedantic,지나치게 꼼꼼한쉼표 지나치게 규칙을 찾는,They were being unnecessarily pedantic by insisting that Berry himself쉼표 and not his wife쉼표 should have made the announcement.,그들은 배리의 아내가 아닌 배리 그 자신이 그 발표를 했어야 했다고 주장 하면서 쓸데없이 현학적으로 굴고 있었다.,They were being unnecessarily _ by insisting that Berry himself쉼표 and not his wife쉼표 should have made the announcement.,,pedantic,,,,,
infection,감염,There is no vaccine against HIV infection.,HIV (에이즈 바이러스) 감염에 대해서는 예방 백신이 없다.,There is no vaccine against HIV _.,,infection,,,,,
edible,먹을 수 있는,Our ice cream shop serves edible spoons made of wheat쉼표 beans쉼표 and butter.,우리 아이스크림 가게에서는 밀과 콩쉼표 버터로 만든 먹을 수 있는 숟가락을 제공합니다.,Our ice cream shop serves _ spoons made of wheat쉼표 beans쉼표 and butter.,,edible,,,,,
cram,밀어 넣다,I managed to cram down a few mouthfuls of food.,나는 간신히 음식을 몇 입 집어삼켰다.,I managed to _ down a few mouthfuls of food.,,cram,,,,,
capsize,(배가) 뒤집히다쉼표 (배를) 뒤집다,These waves can be powerful enough to destroy entire houses along the coast쉼표 and capsize ships that get in their way.,이 파도는 해변을 따라 있는 모든 집들을 부수고 항해중인 배를 집어삼킬 만큼 충분한 파괴력을 가지고 있을 수 있다.,These waves can be powerful enough to destroy entire houses along the coast쉼표 and _ ships that get in their way.,,capsize,,,,,
galvanize,충격 요법을 쓰다,By holding a special session쉼표 the United Nations hopes to galvanize the political commitment to the war on AIDS.,UN은 특별 회기를 열어서 에이즈에 대한 정치적 전쟁을 시작하려고 한다.,By holding a special session쉼표 the United Nations hopes to _ the political commitment to the war on AIDS.,,galvanize,,,,,
disgruntled,불만스러워 하는쉼표 언짢은,I left feeling disgruntled at the way I’d been treated.,나는 내가 받은 대접에 기분이 언짢아져 있었다.,I left feeling _ at the way I’d been treated.,,disgruntled,,,,,
imminent,임박한,The system is in imminent danger of collapse.,체제가 금방이라도 붕괴해 버릴 위험에 처해 있다.,The system is in _ danger of collapse.,,imminent,,,,,
evasive,얼버무리는,During testimony on Friday쉼표 the mother of the alleged victim was said to be evasive and almost hostile.,금요일 법정 증언 동안쉼표 피해자로 추정되는 아이의 어머니는 회피적이면서 거의 적대적이었다고 합니다.,During testimony on Friday쉼표 the mother of the alleged victim was said to be _ and almost hostile.,,evasive,,,,,
credibility,신뢰성,The prosecution did its best to undermine the credibility of the witness.,검찰측에서는 그 증인의 신뢰성을 떨어뜨리기 위해 온갖 노력을 다 했다.,The prosecution did its best to undermine the _ of the witness.,,credibility,,,,,
constitute,구성하다쉼표 설립하다,Does such an activity constitute a criminal offence?,그런 행위가 형사상 범죄가 되는가?,Does such an activity _ a criminal offence?,,constitute,,,,,
