sedentary,sedentary,앉아 있는쉼표 정착해 있는,People with sedentary jobs need to eat less than those in active occupations.,앉아서 일하는 직업을 가진 사람들은 활동적인 직업의 사람들보다 더 적게 먹어야 한다.,People with _ jobs need to eat less than those in active occupations.,,
principle,principles,원리쉼표 원칙,The Hunminjeongeum Haerye explans the ideas and principles behind the creation of Hangeul.,훈민정음 해레본따옴표는 한글 창제의 바탕이 되는 발생과 원리를 설명한다.,The Hunminjeongeum Haerye explans the ideas and _ behind the creation of Hangeul.,,principals
appendix,appendix,맹장쉼표 부록,The role of the appendix has been a mystery.,맹장의 역할은 수수께끼였다.,The role of the _ has been a mystery.,,appendix
organism,organisms,유기체쉼표 생물,Most planktonic organisms are microscopic.,대부분의 플랑크톤 유기체는 극히 적다.,Most planktonic _ are microscopic.,,organism
mindless,mindless,무분별한쉼표 어리석은,The film was criticized by the critics for its mindless violence.,그 영화는 무분별한 폭력으로 평론가들의 비판을 받았다.,The film was criticized by the critics for its _ violence.,,mindless
responsibility,responsibility,책임,It is now our responsibility to protect this UNESCO World Heritage Site.,이 UNESCO 세계 문화유산 지역을 보호하는 것은 현재 우리의 책임이다.,It is now our _ to protect this UNESCO World Heritage Site.,,responsibility
sustain,sustained,지탱하게 하다쉼표 유지하다,Hope sustained us during those difficult times.,그 어려운 시기 동안 희망이 우리를 지탱하게 했다.,Hope _ us during those difficult times.,,sustained
direction,direction,방향쉼표 지도쉼표 명령쉼표 감독,It is the second train that is moving in the opposite direction.,반대 방향으로 움직이고 있는 것은 바로 그 두 번째 기차이다.,It is the second train that is moving in the opposite _.,,direction
guilty,guilty,유죄의,No one believed her guilty of this terrible crime.,아무도 이 끔직한 범죄에 대해 그녀가 유죄라고 믿지 않았다.,No one believed her _ of this terrible crime.,,guilty
confront,confronting,직면하다쉼표 맞서다,By risking and confronting railures and learning from them쉼표 we can become wiser.,실패를 무릅쓰고 직면하여 그것으로부터 배움으로써 우리는 더 현명해질 수 있다.,By risking and _ railures and learning from them쉼표 we can become wiser.,,confronting
regional,regional,지역의,The new city project is aimed at balancing regional development,새로운 도시 계획은 지역 발전의 균형을 잡는 것을 목표로 한다.,The new city project is aimed at balancing _ development,,regioal
breakthrough,breakthrough,돌파,Newton and Leibniz pioneered a breakthrough in mathematic calculatoins.,Newton과 Leibniz는 수학적 계산의 돌파구를 선도했다.,Newton and Leibniz pioneered a _ in mathematic calculatoins.,,breakthrough
intrigue,intrigued,호기심을 자극하다쉼표 음모를 꾸미다쉼표 음모,Other people따옴표s houses always intrigued him.,다른 사람들의 집은 언제나 그의 호기심을 자극했다.,Other people따옴표s houses always _ him.,,intrigued
psychology,psychology,심리(학),Behavioral scientists combine knowledge of sociology and psychology.,행동과학자들은 사회학과 심리학의 지식을 결합한다.,Behavioral scientists combine knowledge of sociology and _.,,psychology
sophisticated,sophisticated,세련된쉼표 정교한,Even with sophisticated artificial intelligence쉼표 the initial programming must be done by humans.,정교한 인공지능에서조차도쉼표 초기의 프로그래밍은 인간에 의해 수행되어야 한다.,Even with _ artificial intelligence쉼표 the initial programming must be done by humans.,,sophicticated
glacier,glaciers,빙하,More than half of the earth따옴표s glaciers are in Alaska.,절반이 넘는 지구 빙하가 알래스카에 있다.,More than half of the earth따옴표s _ are in Alaska.,,glaciers
calculate,calculates,계산하다쉼표 추정하다,This instrument calculates distances precisely.,이 도구는 거리를 정확하게 계산한다.,This instrument _ distances precisely.,,calculate
antibiotic,antibiotics,항생제쉼표 항생 물질의,The miraculous power of antibiotics has caused some doctors to use them too much.,항생제의 기적 같은 힘은 일부 의사들이 그것을 너무 많이 사용하게 만들어 왔다.,The miraculous power of _ has caused some doctors to use them too much.,,antibiotics
crucial,crucial,대단히 중대한쉼표 결정적인,This aid money is crucial to the government따옴표s economic policies.,이 원조금은 정부의 경제 정책에 대단히 중요하다.,This aid money is _ to the government따옴표s economic policies.,,crucial
peak,peak,산꼭대기,Medellin따옴표s crime rate has fallen by more than 80 percent from its peak.,Medellin의 범죄율은 절정에 달했을 때에 비해 80퍼센트 넘게 줄었다.,Medellin따옴표s crime rate has fallen by more than 80 percent from its _.,,peak
categorize,categorized,분류하다,Participants were categorized according to school age.,참가자들은 학령별로 분류되었다.,Participants were _ according to school age.,,categorized
religion,religion,종교,There has always been a conflict between science and religion.,과학과 종교 사이에는 항상 갈등이 있어 왔다.,There has always been a conflict between science and _.,,religion
runoff,runoff,유출액체쉼표 결승전,The fertilizer runoff ends up in fish and other marine life for kilometers around.,비료 유출수는 결국 수 킬로미터 주면의 물고기와 다른 해양 생물로 스며들게 된다.,The fertilizer _ ends up in fish and other marine life for kilometers around.,,runoff
industrial,Industrial,산업의,Industrial production has risen by 1.5% since September.,9월 이래 산업 생산량이 1.5퍼센트 상승했다.,_ production has risen by 1.5% since September.,,Industrial
radiation,radiation,방사선,Patients are exposed to high doses of raditation during cancer treatment.,환자들은 암 치료 중에 많은 양의 방사선에 노출된다.,Patients are exposed to high doses of _ during cancer treatment.,,radiation
manufacture,manufacture,제조쉼표 제조하다쉼표 지어내다,The data of manufacture of the TV has been authenticated.,그 TV의 제조일자가 인증되었다.,The data of _ of the TV has been authenticated.,,manufactured
expenditure,expenditure,지출,There have been cuts in local expenditure on education.,교육에 대한 지방 지출이 삭감되었다.,There have been cuts in local _ on education.,,expenditure
academic,academic,학업의쉼표 대학생,Over the next decade쉼표 big data will be replacing traditional academic guidance methods.,향후 10년 동안 빅데이터가 전통적인 학업 지도 방식을 대체하게 될 것이다.,Over the next decade쉼표 big data will be replacing traditional _ guidance methods.,,academic
